code,category,number,title,units,desc
SLAVIC 101-7,SLAVIC,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
SLAVIC 101-8,SLAVIC,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
SLAVIC 106-SA,SLAVIC,106-SA,Elementary Czech,1,"Czech language and culture. Basic reading, writing, listening, and speaking.  No prerequisite."
SLAVIC 210-1,SLAVIC,210-1,Introduction to Russian Literature,1,"Comprehensive overview of the central prose works and literary movements in 19th-century Russia. 1. Thematic and formal study of major works by Pushkin, Gogol, Lermontov, Turgenev. 2. Tolstoy, Dostoevsky. 3. Turgenev, the late Tolstoy, Chekhov, Bunin. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 210-2,SLAVIC,210-2,Introduction to Russian Literature,1,"Comprehensive overview of the central prose works and literary movements in 19th-century Russia. 1. Thematic and formal study of major works by Pushkin, Gogol, Lermontov, Turgenev. 2. Tolstoy, Dostoevsky. 3. Turgenev, the late Tolstoy, Chekhov, Bunin. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 210-3,SLAVIC,210-3,Introduction to Russian Literature,1,"Comprehensive overview of the central prose works and literary movements in 19th-century Russia. 1. Thematic and formal study of major works by Pushkin, Gogol, Lermontov, Turgenev. 2. Tolstoy, Dostoevsky. 3. Turgenev, the late Tolstoy, Chekhov, Bunin. Literature Fine Arts Distro Area"
SLAVIC 211-1,SLAVIC,211-1,20th-Century Russian Literature,1,"Major works in cultural-historical context, from the revolutions of 1917 through the present. Variable content depending on instructor. Focus on one of the following: Russian modernism in literature, music, film, and visual art; non-conformism in Soviet literature and visual arts (1940s to 1986); and contemporary Russian culture. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 211-2,SLAVIC,211-2,20th-Century Russian Literature,1,"Major works in cultural-historical context, from the revolutions of 1917 through the present. Variable content depending on instructor. Russian literature, film, and visual art in the transition from communism to post-communism. Writers examined may include Pasternak, Bulgakov, Solzhenitsyn, and Sinyavsky/Tertz. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 218-0,SLAVIC,218-0,Introduction to Polish Literature,1,"Survey of key literary works in Poland from the 19th century to the present. Focus on literary movements such as romanticism, realism, the Young Poland Movement, the avant-garde, Holocaust literature, and dissident and queer literature. Global Perspectives on Power, Justice, and Equity Literature and Arts Foundational Discipline"
SLAVIC 222-0,SLAVIC,222-0,"Language, Politics, & Identity",1,"Role of language in constructing, preserving, and manipulating political and national identities. Topics include language discrimination, linguistic nationalism, language and religion, alphabet issues, dialect issues. Regional content varies. LING 222-0 and SLAVIC 222-0 are taught together; may not receive credit for both courses. Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules"
SLAVIC 250-SA,SLAVIC,250-SA,Balkan Civilizations,1,"Culture, history, politics, language, and literature of the Balkans historically and/or in modern periods. Content varies with instructor; may be repeated for credit. Restricted to students participating in NU-sponsored study abroad programs. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline"
SLAVIC 255-0,SLAVIC,255-0,Slavic Civilizations,1,"Culture, history, language, and literature of the Slavs historically and/or in modern periods. Content varies with instructor; may be repeated for credit. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 260-0,SLAVIC,260-0,Economics and the Humanities: Understanding Choice,1,"A conversation among disciplines, especially economics and literary studies. Explores social, ethical, and political big questions. Ethics Values Distro Area Literature Fine Arts Distro Area"
SLAVIC 261-0,SLAVIC,261-0,Heart of Europe: Poland in the Twentieth Century,1,"Study of key developments in Polish history, literature, and thought by way of texts drawn from literature, history, politics, journalism, memoirs, essays, and film. Poland as a microcosm for recent European history and culture. Historical Studies Distro Area Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 267-0,SLAVIC,267-0,"Czech Culture: Film, Visual Arts & Music",1,Czech culture represented in film and visual arts. Literature Fine Arts Distro Area
SLAVIC 267-SA,SLAVIC,267-SA,Czech Culture,1,
SLAVIC 278-1,SLAVIC,278-1,Visual Art in the Context of Russian Culture,1,"Introduction to the history of Russian art: survey of major trends in Russian visual art in the dual contexts of Russian culture and European visual art. Focus on interconnections among visual arts, literature, and political history. Russian art from the medieval period to the beginning of the 20th century. Literature Fine Arts Distro Area"
SLAVIC 278-2,SLAVIC,278-2,Visual Art in the Context of Russian Culture,1,"Introduction to the history of Russian art: survey of major trends in Russian visual art in the dual contexts of Russian culture and European visual art. Focus on interconnections among visual arts, literature, and political history. Russian art of the 20th century."
SLAVIC 310-0,SLAVIC,310-0,Tolstoy,1,SLAVIC 310-0 Tolstoy (1 Unit) Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
SLAVIC 311-0,SLAVIC,311-0,Dostoevsky,1,SLAVIC 311-0 Dostoevsky (1 Unit) Literature Fine Arts Distro Area
SLAVIC 314-0,SLAVIC,314-0,Chekhov,1,SLAVIC 314-0 Chekhov (1 Unit) Literature Fine Arts Distro Area
SLAVIC 318-0,SLAVIC,318-0,Polish Cinema,1,"Development of Polish film from silent era to contemporary times with focus on major historical and political events in Poland in the twentieth and twenty-first centuries. Special focus on what it means to study “national cinema.”. Global Perspectives on Power, Justice, and Equity Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
SLAVIC 322-0,SLAVIC,322-0,Making a Dictionary: The Northwestern Project,1,"Creation of an online dictionary of Northwestern language. Learning about the connection between language, society, and identity; sociolinguistic fieldwork; lexicography; politics of dictionaries. LING 363-0 and SLAVIC 322-0 are taught together; may not receive credit for both courses. Social Behavioral Sciences Distro Area"
