code,category,number,title,units,desc
MUS_TECH 300-0,MUS_TECH,300-0,Introduction to Music Technology,1,MUS_TECH 300-0 Introduction to Music Technology (1 Unit)  
MUS_TECH 321-0,MUS_TECH,321-0,Producing in the Virtual Studio,1,"MUS_TECH 321-0 Producing in the Virtual Studio (1 Unit) 
Prerequisite: MUS_TECH 300-0 or equivalent experience and consent of instructor."
MUS_TECH 322-0,MUS_TECH,322-0,Recording Techniques,1,"MUS_TECH 322-0 Recording Techniques (1 Unit) 
Prerequisite: MUS_TECH 300-0 or equivalent experience and consent of instructor."
MUS_TECH 335-0,MUS_TECH,335-0,Selected Topics,1,MUS_TECH 335-0 Selected Topics (1 Unit)  
MUS_TECH 340-0,MUS_TECH,340-0,Composing With Computers,1,"MUS_TECH 340-0 Composing With Computers (1 Unit) 
Prerequisite: MUS_TECH 300-0 or equivalent experience."
MUS_TECH 345-0,MUS_TECH,345-0,Technology-Based Performance,1,"MUS_TECH 345-0 Technology-Based Performance (1 Unit) 
Prerequisite: consent of instructor."
MUS_TECH 350-0,MUS_TECH,350-0,Studio Techniques for Electroacoustic Music,1,"MUS_TECH 350-0 Studio Techniques for Electroacoustic Music (1 Unit) 
Prerequisite: MUS_TECH 340-0, MUS_TECH 345-0, or equivalent experience."
MUS_TECH 355-2,MUS_TECH,355-2,History and Analysis of Electroacoustic Music,1,MUS_TECH 355-2 History and Analysis of Electroacoustic Music (1 Unit)  
MUS_TECH 365-0,MUS_TECH,365-0,Electronic Film Music,1,MUS_TECH 365-0 Electronic Film Music (1 Unit)  
MUS_TECH 385-0,MUS_TECH,385-0,Senior Project,1,"Independent project in music technology. 
Prerequisite: permission of department."
MUS_TECH 399-0,MUS_TECH,399-0,Independent Study,0.5-1,
