code,category,number,title,units,desc
LING 101-7,LING,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
LING 101-8,LING,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
LING 220-0,LING,220-0,Language and Society,1,"Introduction to linguistic variation and change from a variety of perspectives on social processes. How language can be connected with social group membership and viewed as a tool used in social practice to construct identity. These issues are explored through the quantitative analysis of linguistic variation in a social context. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
LING 221-0,LING,221-0,Language and Prejudice,1,"Exploration of language variation in the US context, attitudes toward different language varieties, and the research methods used to study these. Topics include linguistic prejudice and discrimination, language ideologies, and language and the law. Ethics Values Distro Area"
LING 222-0,LING,222-0,"Language, Politics, and Identity",1,"Role of language in constructing, preserving, and manipulating political and national identities. Topics include language discrimination, linguistic nationalism, language and religion, alphabet issues, dialect issues. Regional content varies. LING 222-0 and SLAVIC 222-0 are taught together; may not receive credit for both courses. Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules"
LING 223-0,LING,223-0,Language & Gender,1,"Exploration of socially and linguistically significant differences in the language used by/about/to men and women, focusing on the role of language in constructing gender as part of local communities of practice. Taught with GNDR_ST 234-0; may not receive credit for both courses. Social Behavioral Sciences Distro Area"
LING 250-0,LING,250-0,Sound Patterns in Human Language,1,"Introduction to phonetics and phonology. Description and classification of speech sounds in terms of articulation, acoustics, and perception. Similarities and differences of sound patterns across languages. Introduction to speech technology. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
LING 260-0,LING,260-0,Formal Analysis of Words & Sentences,1,Formal structure of words (morphology) and sentences (syntax) in natural language. Biological basis of human language. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area
LING 270-0,LING,270-0,Meaning,1,How information is encoded in words and sentences and how speakers and listeners use language to communicate. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area
LING 300-0,LING,300-0,Topics in Linguistics,1,LING 300-0 Topics in Linguistics (1 Unit)  
LING 312-0,LING,312-0,Experimental Sociolinguistics,1,"LING 312-0 Experimental Sociolinguistics (1 Unit) 
Prerequisite: LING 220 or 250; graduate standing or consent of instructor.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
LING 315-0,LING,315-0,Experimental Approaches to Word Form Processing,1,"LING 315-0 Experimental Approaches to Word Form Processing (1 Unit) 
Prerequisite: any 200 level course in linguistics.
Advanced Expression Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
LING 316-0,LING,316-0,Experimental Syntax,1,"LING 316-0 Experimental Syntax (1 Unit) 
Prerequisite: any 200 level course in linguistics.
Social Behavioral Sciences Distro Area"
LING 317-0,LING,317-0,Experimental Pragmatics,1,"LING 317-0 Experimental Pragmatics (1 Unit) 
Prerequisite: any 200-level course in linguistics or consent of instructor.
Social Behavioral Sciences Distro Area"
LING 320-0,LING,320-0,Sociolinguistics,1,"LING 320-0 Sociolinguistics (1 Unit) 
Prerequisite: any 200 level course in linguistics; graduate standing or consent of instructor.
Advanced Expression Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
LING 321-0,LING,321-0,Bilingualism,1,"LING 321-0 Bilingualism (1 Unit) 
Prerequisite: any 200 level course in linguistics.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
